id,date,amount,sector,IBAN,pod_sector
569,8/24/2024,"€31,42",Insurance,FR09 7080 7396 65HI JG8R 0GBI 893,Umbrella Policy
570,10/7/2024,"€431,08",Insurance,SM33 G751 1021 060D VOO9 HTYX Q9J,Critical Illness Insurance
571,12/3/2023,"€232,86",Health and Wellness,FR34 9307 9962 04U1 S8VM MYW6 F62,Nutrition
572,5/21/2024,"€584,63",Shopping,GT57 ZCFE BPDY 4EIR LBWN BD3C CYLJ,Gifts
573,5/12/2024,"€290,29",Groceries,FO36 9283 0539 9575 56,Snacks
574,8/20/2024,"€190,80",Shopping,ES52 3572 1169 4784 1493 0431,Furniture
575,12/1/2023,"€236,63",Entertainment,MR97 4419 7108 7381 0713 8891 730,Bowling
576,3/19/2024,"€729,91",Transportation,PK66 DCGB TBRH ATLU 5WJG SS7D,Train
577,1/3/2024,"€595,26",Entertainment,RS20 7112 9823 0916 6468 69,Concerts
578,4/14/2024,"€817,20",Dining and Restaurants,SI46 3864 3231 6579 528,Delivery Services
579,9/22/2024,"€378,85",Insurance,CY63 0308 6555 E1HI 20O9 W4BJ YYKA,Dental Insurance
580,8/28/2024,"€211,34",Housing and Rent,BG72 BLJY 7228 47CV LGGD LA,Insurance
581,1/2/2024,"€761,07",Dining and Restaurants,AZ59 SCZZ HTLZ EPAU MWEA BJ5F YTE1,Takeout
582,9/9/2024,"€125,22",Entertainment,BH51 BWOA YSWK 2UIR H0WA SO,Dance Classes
583,2/1/2024,"€678,02",Dining and Restaurants,AL62 2997 1640 PZCK DIAQ WQMV 1B9V,Casual Dining
584,8/18/2024,"€482,63",Shopping,LU78 035B 6W7E IIHC DU9E,Books
585,2/22/2024,"€380,82",Health and Wellness,IL34 0536 6174 1598 6524 334,Yoga Classes
586,1/16/2024,"€977,52",Insurance,HU56 8345 8950 5502 3685 4861 3837,Health Insurance
587,7/23/2024,"€925,80",Shopping,IT76 P687 6255 142I RCPZ ZK1T LNZ,Appliances
588,5/16/2024,"€595,78",Dining and Restaurants,RS43 5689 3939 4480 1783 14,Bars
589,11/16/2023,"€327,46",Entertainment,GT67 FNRG 0VBG S99H BRXX ZHNK RF0C,Video Games
590,12/9/2023,"€576,09",Groceries,LT87 2014 2300 9149 9427,Frozen Foods
591,5/21/2024,"€382,82",Entertainment,DE26 3231 5769 4834 9737 52,Sports Events
592,3/3/2024,"€864,58",Travel,FR62 2495 8126 47JN PRQI UPIR B17,Food & Dining
593,11/14/2023,"€719,17",Dining and Restaurants,PT62 7741 0752 1406 6239 7491 8,Fine Dining
594,3/28/2024,"€325,29",Travel,VG68 VUJI 0020 1350 1500 1996,Excursions
595,9/25/2024,"€695,90",Dining and Restaurants,RO96 OVYG 56HY HSPO MSFO YMCA,Ethnic Cuisine
596,2/26/2024,"€466,42",Dining and Restaurants,LI23 7364 3ZAG QGGJ CDGF X,Casual Dining
597,3/24/2024,"€29,75",Groceries,BH43 SNJS EJSW BM4J 2YOI PB,Snacks
598,1/10/2024,"€925,12",Insurance,IE61 AYLG 1563 1433 3683 76,Travel Insurance
599,7/27/2024,"€259,82",Housing and Rent,FR23 9960 3124 46JZ ITIO ES2I 598,Gas
600,6/26/2024,"€423,11",Shopping,HR46 4988 2199 1755 7243 5,Sports Equipment
601,3/23/2024,"€621,77",Shopping,LV41 FBIY ANUK 3Z0U PAGW M,Appliances
602,4/14/2024,"€150,50",Dining and Restaurants,KZ32 185M TWLM OOYM 7PCL,Bars
603,3/12/2024,"€236,54",Family,CR16 2998 1235 8273 3081 4,Toys
604,3/4/2024,"€684,60",Insurance,NO73 3821 6067 553,Renters Insurance
605,1/16/2024,"€278,83",Housing and Rent,DO14 Z0QT 4839 0772 2144 3747 5767,Maintenance
606,9/23/2024,"€95,85",Shopping,GI41 ONOM SXWP MMFX GYNT QWJ,Stationery
607,12/24/2023,"€226,24",Shopping,CH36 0232 4NNO QSWE FSPD U,Stationery
608,1/30/2024,"€112,00",Groceries,AL66 7020 5678 RYLX 55BT RYR9 AU6B,Seafood
609,8/11/2024,"€32,01",Insurance,FR91 8095 4836 89CD UAGP MMPF H52,Umbrella Policy
610,3/12/2024,"€542,76",Transportation,CH52 0752 2EAJ IPY1 48CB 6,Car Rental
611,12/1/2023,"€369,17",Family,AD96 1369 9399 RCZJ VOWQ HJJA,Books
612,1/23/2024,"€231,53",Family,CR52 3188 0449 1527 0012 5,Clothes
613,9/5/2024,"€848,56",Insurance,FR85 6183 3801 632V QG7T Y0RE 796,Health Insurance
614,1/24/2024,"€383,95",Shopping,DO03 E9HR 5362 4323 0183 4189 4904,Clothing
615,5/3/2024,"€613,07",Shopping,IE94 VFCR 1148 9557 0367 88,Accessories
616,7/23/2024,"€992,31",Insurance,PL64 0537 2221 9425 6353 7171 1789,Travel Insurance
617,9/25/2024,"€102,44",Shopping,FR32 0608 4383 47SI 3YP2 R69S 173,Stationery
618,2/7/2024,"€761,57",Health and Wellness,AZ19 QHTK ROBO YVED 89GR WWSA VOWY,Dentist
619,5/1/2024,"€367,51",Groceries,MC72 5157 6496 02TS WYUS 5FRJ L50,Fruits
620,7/13/2024,"€493,44",Dining and Restaurants,PT22 9969 6467 3517 7821 0877 0,Coffee Shops
621,1/22/2024,"€393,85",Dining and Restaurants,GI83 MXHF FHGC YN2N 3MDF AYZ,Brunch Spots
622,3/14/2024,"€434,16",Family,TN33 7487 3069 8944 0279 4731,Extra-Curricular Activities
623,2/6/2024,"€840,70",Entertainment,BH31 WVFW WPUR PKKJ 41AG KM,Streaming Services
624,6/10/2024,"€870,68",Transportation,PL94 7502 3623 7733 9130 5407 5718,Car Loan
625,1/22/2024,"€631,94",Shopping,FR91 9721 1157 64FV NW20 J5VR F62,Electronics
626,10/24/2024,"€470,77",Travel,FR83 3322 1423 11RH IBD1 YMWV L81,Visas
627,8/18/2024,"€94,75",Groceries,BG83 PPKT 4903 09XM 0GW9 WN,Seafood
628,5/3/2024,"€916,54",Travel,MD34 ZMEG EIVJ AB8S TDFV HZ1Z,Cruises
629,10/27/2024,"€98,71",Travel,GB71 APLY 5485 7841 7402 44,Flights
630,3/1/2024,"€893,44",Travel,FR90 3366 3780 816R I9T4 45WV 376,Hotels
631,5/14/2024,"€76,99",Groceries,SA49 80HC UVNZ IZEK IOKT VWI5,Vegetables
632,9/28/2024,"€111,33",Housing and Rent,RO04 GAJT 7GCA INW1 4QCW RKFP,Home Security
633,8/5/2024,"€400,88",Dining and Restaurants,FR25 6437 5640 767K IZOX ANSG R52,Food Trucks
634,2/12/2024,"€431,40",Health and Wellness,FR36 2289 5905 53JY UFFP J5RL E51,Nutrition
635,10/25/2024,"€511,37",Entertainment,LB61 7435 NN08 VPS0 G6OE SJFL HFGF,Amusement Parks
636,10/15/2024,"€20,23",Entertainment,DE60 6593 3738 1855 6588 80,Art Exhibitions
637,9/15/2024,"€930,36",Insurance,PL82 1213 9627 4099 1759 3932 5213,Disability Insurance
638,7/30/2024,"€842,18",Family,FO14 4162 2384 0145 63,Toys
639,3/27/2024,"€457,21",Family,SE73 3463 0061 0803 2655 1483,Child Entertainment
640,5/18/2024,"€996,10",Health and Wellness,FR15 8781 0831 63X4 OC6E PKST E40,Therapy
641,3/11/2024,"€236,89",Health and Wellness,EE21 1968 3064 8464 8125,Dentist
642,12/24/2023,"€68,50",Entertainment,MK53 354F K9EW HFCA T69,Dance Classes
643,6/16/2024,"€136,39",Dining and Restaurants,CH44 9683 7YUW SF6B QHYA 7,Takeout
644,11/4/2024,"€856,33",Transportation,MT85 YQKU 1933 2CRD XZTJ SYFM EDYB ZXA,Car Loan
645,2/3/2024,"€964,93",Transportation,LT44 0764 6662 4598 2838,Taxi
646,5/3/2024,"€213,31",Health and Wellness,CH09 6822 1QTL JHWS 5EWF T,Health Insurance
647,6/25/2024,"€335,92",Travel,CR83 1785 9650 8755 2308 7,Flights
648,2/19/2024,"€193,29",Housing and Rent,MK84 3482 FKUK VMFF 969,Mortgage
649,12/10/2023,"€529,96",Travel,FR23 8670 4972 50VN V8KK FTHJ D40,Cruises
650,6/19/2024,"€976,62",Family,LB59 5769 PDB2 TAN5 PGJR GII6 CJ7R,Groceries
651,11/4/2024,"€261,97",Transportation,IE70 OTVZ 7483 3166 3651 47,Roadside Assistance
652,3/28/2024,"€123,46",Entertainment,IT55 P187 0013 295Q WEGC CESW OWD,Video Games
653,10/10/2024,"€61,87",Health and Wellness,EE25 3518 4410 4037 6676,Therapy
654,7/11/2024,"€632,30",Entertainment,FR75 7403 6314 44WU JZKI JKRC Z27,Concerts
655,7/10/2024,"€800,77",Entertainment,AZ42 IMNQ OHC3 IUGE NLVR XLFX MP3T,Music Lessons
656,1/2/2024,"€672,12",Health and Wellness,FR79 1137 5223 17R2 RITR PSQS S99,Health Insurance
657,4/21/2024,"€595,83",Groceries,GL38 5676 6604 2631 84,Frozen Foods
658,6/9/2024,"€991,26",Housing and Rent,HU62 4630 4242 5652 8112 6773 0195,Furniture
659,2/1/2024,"€747,14",Dining and Restaurants,ME26 0097 7498 6486 5582 15,Bakeries
660,2/23/2024,"€615,51",Dining and Restaurants,NO08 8873 7815 376,Bakeries
661,11/4/2024,"€520,94",Groceries,PS31 CADC AB7P USOG NTRU YSCK UUTG 7,Household Items
662,5/27/2024,"€206,03",Transportation,LI45 0581 2JQJ RTQX 4ZVB F,Car Rental
663,9/28/2024,"€811,69",Housing and Rent,BR98 2012 6042 0614 5621 9355 822F B,Insurance
664,5/7/2024,"€350,76",Transportation,ES56 7229 6516 7480 3242 5284,Rideshare
665,10/23/2024,"€579,30",Travel,FR05 9126 7052 60LG DF1H EI3O Q55,Tourist Attractions
666,8/31/2024,"€916,77",Insurance,IT32 X865 3579 705Q X7ZI YVKT 2GC,Life Insurance
667,4/1/2024,"€633,00",Groceries,SK26 6395 0742 2702 2911 8251,Meat
668,12/20/2023,"€391,59",Transportation,IT30 R845 1879 549O DTST PZY3 KSL,Toll Fees
669,1/13/2024,"€6,09",Dining and Restaurants,MK68 163V 4SEF URQ3 H47,Bakeries
670,10/31/2024,"€964,83",Entertainment,TN69 3263 6232 1815 0588 1161,Sports Events
671,12/18/2023,"€698,80",Travel,MK78 848V T9IE 2MFR P15,Excursions
672,11/24/2023,"€744,87",Groceries,MR51 9875 4192 2599 9431 6805 940,Frozen Foods
673,1/18/2024,"€523,56",Housing and Rent,KW35 OCFQ IWKV J1GF XAEB K3LT KRTR XX,Home Security
674,12/25/2023,"€125,51",Transportation,PS91 ZGGJ RNHX PMTP ZC1W 1TJG VBTC S,Public Transport
675,3/21/2024,"€239,01",Housing and Rent,CZ04 0265 3117 2972 3052 9398,Repairs
676,10/10/2024,"€385,52",Entertainment,GI16 UGBR JIR1 H4EW CBKH IE7,Music Lessons
677,2/24/2024,"€853,00",Health and Wellness,FR67 6216 4515 37OH NCBC B3VM S41,Optometrist
678,6/18/2024,"€327,11",Health and Wellness,FR03 9448 9109 49FG RH9I SQCL D03,Personal Trainer
679,6/8/2024,"€484,08",Entertainment,MT80 CZUV 4911 7URT UTXL HDIE LEHQ SER,Amusement Parks
680,9/29/2024,"€925,51",Dining and Restaurants,ME04 9655 5335 6139 3875 83,Casual Dining
681,6/23/2024,"€720,65",Transportation,BE93 6349 3389 5876,Flight
682,12/13/2023,"€914,01",Entertainment,HR79 0306 7862 0881 0975 9,Museums
683,11/29/2023,"€311,04",Dining and Restaurants,PL23 0098 2894 3798 8496 8622 5882,Dessert Shops
684,8/17/2024,"€760,35",Entertainment,BA88 2937 9350 9428 5093,Escape Rooms
685,5/3/2024,"€965,60",Shopping,FR46 3873 1771 88ZK S2W3 X2MH 647,Accessories
686,2/17/2024,"€22,14",Transportation,LU94 9604 OQVY NP4D CNOZ,Electric Vehicle Charging
687,8/10/2024,"€575,20",Family,PS76 RZND HBWP PQIC KZXW ZZVR R9KR O,Birthday Gifts
688,4/6/2024,"€16,39",Insurance,HR21 0457 6192 6732 1722 9,Health Insurance
689,6/22/2024,"€8,38",Transportation,SM07 T779 2290 180O P2PF LDHT L1K,Car Loan
690,4/15/2024,"€655,16",Housing and Rent,MR10 7756 8511 9129 7819 9376 414,Home Improvements
691,11/8/2023,"€46,03",Travel,DO66 RUFW 6856 6313 3473 7474 4480,Food & Dining
692,10/20/2024,"€120,05",Housing and Rent,RO70 ABOQ 9OHH LCRM I7E2 ADZB,Home Improvements
693,6/17/2024,"€551,75",Entertainment,BR81 7521 2713 6702 7150 2156 875T K,Streaming Services
694,1/6/2024,"€44,30",Travel,LB50 0525 GQVD OACB MI90 TK0Y 5L5D,Airport Transfers
695,8/12/2024,"€355,82",Groceries,AD88 0232 2273 NYG3 JXLH AOFV,Personal Care
696,7/3/2024,"€398,55",Travel,CY11 6254 3244 K2DB C2IG UAYX XJBF,Tourist Attractions
697,7/18/2024,"€493,04",Family,FR25 6815 1749 28FQ LGCI 7WS1 M09,Books
698,3/6/2024,"€954,03",Dining and Restaurants,IS53 9127 4409 3446 4858 1726 03,Takeout
699,6/13/2024,"€222,21",Insurance,MU68 HPBJ 4115 1201 5162 3991 085M AI,Disability Insurance
700,5/18/2024,"€678,19",Transportation,LB48 5141 ZGUC ABRQ YBWC COCW E3SQ,Insurance
701,3/18/2024,"€994,62",Groceries,LT52 1320 9835 9408 4197,Canned Goods
702,8/19/2024,"€672,11",Family,DE85 3346 3203 2415 5677 85,Home Essentials
703,1/27/2024,"€10,00",Health and Wellness,FR29 7364 5678 78IT TIYJ 2HAD 108,Therapy
704,7/2/2024,"€255,86",Travel,CY11 6535 2530 FZYZ ONNR LOHL 0A80,Rental Cars
705,4/20/2024,"€21,98",Insurance,LB15 6875 E6WY 3LDU BAL2 THZ5 C7HN,Liability Insurance
706,12/20/2023,"€68,93",Health and Wellness,SE96 7230 9608 5452 3294 3751,Wellness Retreats
707,3/28/2024,"€617,53",Insurance,CR58 6454 2763 3135 3104 7,Critical Illness Insurance
708,6/3/2024,"€302,98",Travel,GB80 ELUT 3270 2562 0737 86,Tourist Attractions
709,3/4/2024,"€836,81",Transportation,LB85 8514 YDWH I83M APVI AX70 LAYP,Taxi
710,6/19/2024,"€80,09",Entertainment,MK86 598N FZVJ CSKY J29,Museums
711,1/21/2024,"€623,89",Shopping,LT81 3551 9816 4009 4820,Office Supplies
712,11/3/2024,"€166,22",Shopping,LT19 3414 6037 1291 4138,Appliances
713,4/16/2024,"€56,63",Dining and Restaurants,DE02 3910 1377 8009 2916 80,Coffee Shops
714,9/7/2024,"€259,92",Groceries,MK89 7504 8LJC H0FG X59,Beverages
715,1/3/2024,"€203,40",Groceries,CZ95 7553 5336 7634 2481 6581,Frozen Foods
716,4/15/2024,"€857,35",Entertainment,PS29 HLKW FZK0 BAF1 WF2O TZ1U TQYB Q,Concerts
717,7/17/2024,"€764,12",Health and Wellness,EE32 7935 2210 4715 5231,Nutrition
718,1/24/2024,"€720,81",Entertainment,GE70 KL39 4448 6634 2653 04,Bowling
719,1/14/2024,"€305,45",Insurance,FR66 6076 7772 40GU RAG5 PW0M O40,Business Insurance
720,3/21/2024,"€757,11",Groceries,LV24 COCX ODMU BYUG LFN1 9,Fruits
721,5/30/2024,"€896,97",Groceries,FR88 8130 2718 37OZ AIDZ K9KN I88,Cleaning Supplies
722,11/14/2023,"€985,33",Transportation,NL88 AYGS 2705 4251 95,Vehicle Maintenance
723,5/30/2024,"€272,34",Family,NL23 IVJB 8694 5178 87,Tutoring
724,12/29/2023,"€630,50",Health and Wellness,FR24 3703 4216 93UL T8OV JQOI K71,Optometrist
725,12/13/2023,"€110,43",Housing and Rent,SA53 806S EB3J XC3X 6JFA HWGE,Gas
726,1/26/2024,"€598,90",Shopping,BE74 3854 6222 8701,Office Supplies
727,8/10/2024,"€884,00",Entertainment,FR69 7744 9701 356F BOEA XRSK F35,Live Theater
728,4/11/2024,"€269,04",Shopping,VG17 AZIA 4381 5683 6523 6737,Furniture
729,7/23/2024,"€9,65",Transportation,FR19 5613 0695 35FU HAE2 WBSB Q67,Roadside Assistance
730,2/3/2024,"€674,89",Shopping,KW96 DJIS N0CQ 2LN9 B4ZS WCVO OWVJ KI,Appliances
731,3/14/2024,"€844,95",Transportation,AE15 9033 3899 4776 5905 684,Public Transport
732,10/14/2024,"€990,19",Family,DE24 6785 3710 6001 7484 96,Birthday Gifts
733,6/27/2024,"€939,56",Housing and Rent,IE86 BPBU 9550 3932 1656 79,Electricity
734,12/17/2023,"€594,83",Transportation,KW80 RUGW RBDE QWIN IXWA A7JW EZ4X 3A,Taxi
735,3/11/2024,"€43,12",Dining and Restaurants,PL98 8594 3423 3572 6935 5173 9382,Cafes
736,8/18/2024,"€735,24",Insurance,MT65 ITSN 0632 3EY2 QV0N SKTQ QZSP UN9,Travel Insurance
737,2/19/2024,"€600,86",Health and Wellness,RO30 JYIW Q1HQ B69M LFMV 8AAU,Yoga Classes
738,2/29/2024,"€216,61",Transportation,LU29 555I 4CRW YDAB E4TW,Train
739,10/18/2024,"€270,73",Dining and Restaurants,GB04 YJKC 2392 1437 1093 11,Fine Dining
740,3/4/2024,"€99,79",Health and Wellness,DO73 AWQT 4536 2709 9621 8431 3116,Gym Membership
741,1/20/2024,"€76,34",Housing and Rent,AD83 7320 6289 L9TS 0OUO HMCE,Insurance
742,6/24/2024,"€802,47",Insurance,GL95 1931 1270 8165 64,Umbrella Policy
743,8/22/2024,"€640,58",Groceries,ME51 5788 7613 6419 9932 99,Snacks
744,1/8/2024,"€840,72",Insurance,AD39 8231 8736 XOYB 2JEF JEVR,Travel Insurance
745,7/28/2024,"€213,80",Transportation,AZ19 YTZU 30AM DYA2 IP4T NKGA ENFQ,Gasoline
746,7/12/2024,"€990,06",Dining and Restaurants,AE48 6931 6230 5668 2419 697,Fine Dining
747,11/4/2024,"€654,45",Transportation,ES67 3221 9636 3741 8635 8815,Electric Vehicle Charging
748,4/28/2024,"€974,35",Transportation,PK16 OBCW MBHC RKTC JD1T RKIN,Bike Rental
749,3/20/2024,"€301,52",Housing and Rent,CR45 5472 0006 4780 8123 0,Gas
750,12/24/2023,"€139,01",Groceries,FO56 4870 3600 9951 44,Household Items
751,7/28/2024,"€60,18",Health and Wellness,FR69 3990 3046 05GV 6JIF YMOG D05,Massage
752,3/17/2024,"€137,43",Dining and Restaurants,PL14 3479 2268 9125 8001 6896 6653,Bakeries
753,8/21/2024,"€65,14",Dining and Restaurants,FR33 6010 7671 17ZW 5VCH CA8P 065,Dessert Shops
754,6/4/2024,"€282,88",Housing and Rent,LI13 7397 3L18 QAOQ X3GK H,Rent
755,3/21/2024,"€215,55",Dining and Restaurants,GI98 QZPQ BE3S WSDF TJ64 N6V,Delivery Services
756,7/25/2024,"€820,32",Transportation,HR25 0467 9226 5409 3030 2,Insurance
757,2/25/2024,"€300,62",Groceries,KW75 XVGA GKCL L8S4 E2SP XZGH 0LXW TO,Snacks
758,2/27/2024,"€527,32",Shopping,RS53 1648 4138 6781 3764 95,Toys
759,4/11/2024,"€403,04",Family,TR57 9029 4KGV 1J0Q QF0G J01Z B6,Family Events
760,3/9/2024,"€471,41",Health and Wellness,IE37 QUZT 3956 6698 9242 52,Physical Therapy
761,12/13/2023,"€882,74",Shopping,IT38 I047 8280 101M 23Z3 YDOR P2T,Jewelry
762,12/5/2023,"€410,79",Dining and Restaurants,AD90 8806 4004 M0DN CJ3B BBZR,Brunch Spots
763,6/11/2024,"€276,04",Housing and Rent,GB82 ZSFC 0854 1390 0389 59,Insurance
764,9/6/2024,"€973,19",Family,ES67 3297 2886 6685 5947 4238,School Fees
765,3/8/2024,"€929,85",Dining and Restaurants,FR36 9877 6335 361B UTF3 PKPQ 396,Brunch Spots
766,8/27/2024,"€103,58",Health and Wellness,HR79 6109 4332 1162 8068 8,Chiropractor
767,7/11/2024,"€863,72",Insurance,VG82 CCKH 5907 7990 4439 8650,Home Insurance
768,3/18/2024,"€79,19",Dining and Restaurants,HR46 0173 5476 3130 7051 2,Bakeries
769,11/21/2023,"€930,11",Groceries,GL40 5144 0781 9840 11,Personal Care
770,6/25/2024,"€596,95",Shopping,HR61 8873 9232 3795 6675 9,Office Supplies
771,12/20/2023,"€481,70",Insurance,AE70 8758 5300 7079 3229 332,Pet Insurance
772,7/23/2024,"€335,74",Health and Wellness,PT96 9182 0145 4770 7637 5326 7,Chiropractor
773,1/7/2024,"€560,01",Shopping,GE48 TP75 5821 6039 0603 08,Shoes
774,2/22/2024,"€521,84",Housing and Rent,AL56 7845 2953 OOAK YO1V JNWK 1HL5,Insurance
775,4/15/2024,"€784,87",Groceries,DE20 5680 1552 0691 9148 19,Pet Supplies
776,7/3/2024,"€810,75",Entertainment,FR45 9986 7589 81X5 AOMX Q6GK S70,Museums
777,11/15/2023,"€569,47",Family,SM40 I574 8951 1552 MN7K ULCS RGL,Books
778,2/14/2024,"€290,06",Groceries,FR09 1114 7605 64RF TVNT ENX2 F49,Frozen Foods
779,3/18/2024,"€306,17",Insurance,IT16 Y248 7759 7344 Z9AI GKXG GP2,Business Insurance
780,4/5/2024,"€977,27",Housing and Rent,AZ93 KFFC HAVB 3ONL JLNV 0QLQ WLCI,Phone
781,7/1/2024,"€913,20",Insurance,BH90 QBNA CMMW 0SJG TXVH DR,Critical Illness Insurance
782,9/27/2024,"€651,37",Transportation,SK14 3484 2955 4648 2434 8192,Taxi
783,5/5/2024,"€608,21",Dining and Restaurants,FR97 5588 1973 2566 RNBO SVUW X66,Fast Food
784,3/9/2024,"€193,46",Shopping,DE62 6572 3863 4897 2589 70,Outdoor Gear
785,9/1/2024,"€41,12",Health and Wellness,FI22 8081 5004 4751 07,Chiropractor
786,6/2/2024,"€742,27",Dining and Restaurants,MT17 LSSR 3540 35GC WWKO FDHX O5Y1 OBU,Fast Food
787,1/4/2024,"€436,15",Housing and Rent,GB79 KMKV 7849 7316 5513 82,Phone
788,7/1/2024,"€810,32",Health and Wellness,FI37 6914 2354 1110 04,Wellness Retreats
789,8/11/2024,"€199,73",Housing and Rent,AL35 3102 9893 NEWX 7YO2 J7KU NHB8,Insurance
790,3/13/2024,"€703,50",Insurance,GB86 MYGQ 1592 0097 8177 09,Vision Insurance
791,5/19/2024,"€503,70",Groceries,FR41 9836 1911 66NO SKIG KYEQ D78,Household Items
792,4/5/2024,"€459,29",Family,DK15 9002 4776 7279 61,Health Insurance
793,3/22/2024,"€996,30",Groceries,MT68 YUFC 8556 6RW6 O1SW MLIH WDYR WKA,Pet Supplies
794,4/29/2024,"€577,07",Transportation,SM72 N758 0458 982L LNEK KIUX 8SP,Train
795,8/10/2024,"€270,69",Groceries,FR32 2260 3285 23WH HCHX 8O0E R20,Household Items
796,2/4/2024,"€103,27",Entertainment,MK15 245Y N7AS K0KO K57,Escape Rooms
797,11/6/2024,"€341,42",Dining and Restaurants,RS96 4780 5587 9966 6863 33,Casual Dining
798,4/4/2024,"€52,76",Insurance,CH93 1417 2ZEP 5QYZ SVDU O,Dental Insurance
799,2/15/2024,"€586,99",Family,ES21 6603 8911 6039 9081 1853,Family Events
800,9/20/2024,"€155,51",Travel,DO81 AX5R 2295 9414 7958 6671 8179,Souvenirs
801,6/26/2024,"€101,65",Entertainment,PL17 8714 8235 3201 0848 7209 1554,Dance Classes
802,2/13/2024,"€272,27",Family,TR57 5927 0Z7X WRHC NVWH TQUP WA,Family Events
803,6/14/2024,"€862,17",Shopping,MK09 462W CPL4 ALNM C11,Electronics
804,3/8/2024,"€255,58",Shopping,KZ50 654D A1MI 3BVQ OKTL,Accessories
805,9/20/2024,"€185,36",Insurance,FR51 4709 1829 809J DHVL CED0 X83,Critical Illness Insurance
806,7/29/2024,"€261,87",Shopping,MC36 4508 7341 32IZ JNSB LCBE D45,Clothing
807,10/27/2024,"€599,34",Insurance,FR19 7770 7127 58OP YRTI I566 P41,Vision Insurance
808,1/12/2024,"€998,57",Entertainment,AZ72 CWFE 5IBB GLCO JWDJ 877E PJXJ,Music Lessons
809,12/31/2023,"€518,41",Travel,CY07 4154 5044 L1NY BHJX ZHXC CZYW,Cruises
810,7/12/2024,"€572,40",Groceries,IE56 WRUZ 5734 7237 4070 90,Pet Supplies
811,5/14/2024,"€321,96",Family,HU34 3370 8394 6020 7938 0573 7902,Pet Care
812,1/22/2024,"€860,69",Family,IS03 6241 7547 2287 5404 3394 60,Family Events
813,2/21/2024,"€489,56",Health and Wellness,PL22 0278 0661 8723 3868 5774 1731,Gym Membership
814,12/25/2023,"€379,44",Insurance,FR40 8745 8690 85KN E7DG A1TX M95,Renters Insurance
815,11/29/2023,"€525,49",Transportation,IL39 9869 7677 3750 5115 385,Train
816,3/20/2024,"€339,42",Entertainment,LV78 YIDE FFR3 4SAF NCXO U,Art Exhibitions
817,7/3/2024,"€384,78",Transportation,LT81 1489 9395 5805 9651,Parking
818,8/18/2024,"€356,31",Groceries,LB92 4970 K7ZT GDLO THT9 8YXQ NQX3,Fruits
819,2/9/2024,"€307,93",Housing and Rent,MR08 1546 8949 6281 6267 8547 096,Rent
820,1/19/2024,"€110,68",Transportation,FI95 8735 3703 6041 38,Flight
821,12/6/2023,"€367,52",Travel,BE39 5311 9527 5032,Cruises
822,6/16/2024,"€804,88",Insurance,HU23 1635 4227 1186 7304 6926 2172,Home Insurance
823,1/20/2024,"€624,64",Health and Wellness,RO31 FXTC E4AQ DCJH QCPI VDSB,Health Insurance
824,11/20/2023,"€518,50",Housing and Rent,SM03 Z770 0742 636S VNWV ZK5M FWG,Internet
825,3/18/2024,"€66,96",Transportation,CZ30 8165 0994 9396 4776 5003,Roadside Assistance
826,9/1/2024,"€487,19",Entertainment,BE92 4654 8432 3712,Video Games
827,12/28/2023,"€272,91",Insurance,MD39 2EEA FXPD XDWV FS9O VJCN,Umbrella Policy
828,7/6/2024,"€679,86",Groceries,FR11 2215 9985 03MY 6ILY YFLP 963,Snacks
829,9/27/2024,"€558,94",Entertainment,BH04 YSRF 15MC L43W TSAK G2,Hobbies
830,3/19/2024,"€819,71",Health and Wellness,PT78 8453 0949 8496 8729 1188 5,Yoga Classes
831,11/17/2023,"€792,07",Shopping,GI61 KBUG NTTC RL2C PYII JKR,Jewelry
832,1/28/2024,"€820,37",Family,PK08 LQDQ L3DH KCPX KI7S PPQF,Groceries
833,5/31/2024,"€419,08",Dining and Restaurants,BR69 5846 2799 9535 4818 3282 169P 5,Buffets
834,9/22/2024,"€442,56",Housing and Rent,GB05 JWRM 6613 6839 9455 80,Rent
835,6/7/2024,"€290,08",Housing and Rent,FR51 1161 7288 15AC W6K6 SMEA S42,Rent
836,11/11/2023,"€743,54",Shopping,GT48 N2QC Q4FV OTPA XUER 73P9 MIO8,Cosmetics
837,11/26/2023,"€883,66",Travel,IE21 JRGT 3600 9939 1391 18,Excursions
838,12/10/2023,"€946,39",Insurance,FR88 6340 4145 17WD WJFR ENYS R43,Auto Insurance
839,5/6/2024,"€64,90",Family,TR73 5948 1Q4A WTGS Q0MQ AFOI 2E,Home Essentials
840,9/15/2024,"€690,47",Travel,KW38 YUHR KR5D 9DBW VKJN OFIL K23J OZ,Excursions
841,9/16/2024,"€944,55",Travel,SM59 F005 1598 9065 HSTQ 9NOL 9QB,Travel Gear
842,2/19/2024,"€191,46",Transportation,SI38 7186 1086 0532 147,Toll Fees
843,3/15/2024,"€604,76",Transportation,SI48 5213 7933 5825 649,Toll Fees
844,6/11/2024,"€732,89",Travel,IS74 6757 8808 6884 5798 7768 83,Cruises
845,11/19/2023,"€52,65",Dining and Restaurants,FO89 5459 3134 0924 67,Delivery Services
846,5/29/2024,"€583,42",Insurance,FR28 9905 7777 87MX GXNL HBFR E01,Auto Insurance
847,2/27/2024,"€584,05",Family,GR15 3214 181X MM5P CND0 TXXF AYA,Childcare
848,12/8/2023,"€472,49",Insurance,BA41 0348 5994 6527 9153,Umbrella Policy
